"spp","presences","absences","perc_pres"
10,1,3718,0.0268889486421081
102,6073,59293,9.29076278187437
103,1966,63400,3.00767983355261
107,14054,63445,18.1344275410005
108,2899,74600,3.7406934283023
109,1678,75821,2.16518922824811
110,3245,74254,4.18715080194583
111,2,77497,0.00258067846036723
115,786,76713,1.01420663492432
119,8595,56771,13.1490377260349
121,77,77422,0.0993561207241384
128,267,77232,0.344520574459025
13,41,30500,0.134245767984021
131,164,77335,0.211615633750113
134,5599,71900,7.22460934979806
135,382,77117,0.492909585930141
136,1099,76400,1.41808281397179
137,8800,68699,11.3549852256158
140,120,77379,0.154840707622034
141,3940,73559,5.08393656692344
144,2463,75036,3.17810552394224
145,7135,70364,9.2065704073601
146,5201,72298,6.71105433618498
150,793,64573,1.21316892574121
151,12139,65360,15.6634279151989
157,811,76688,1.04646511567891
158,3318,74181,4.28134556574923
16,9,30532,0.0294685832160047
161,1547,75952,1.99615478909405
162,5529,71970,7.13428560368521
163,1888,75611,2.43616046658667
173,4025,73474,5.19361540148905
174,29123,48376,37.5785494006374
178,2041,63325,3.12241838264541
179,5241,60125,8.0179298106049
181,17036,13506,55.7789273786916
182,413,77086,0.532910102065833
183,30932,46567,39.9127730680396
19,4,30537,0.0130971480960021
190,958,76541,1.2361449825159
193,1840,75659,2.37422418353785
196,2033,75466,2.62325965496329
200,36,77463,0.0464522122866102
204,18,65348,0.0275372517822721
209,230,77269,0.296778022942231
211,728,76771,0.939366959573672
214,5399,59967,8.2596456873604
215,820,64546,1.25447480341462
22,13,30528,0.0425657313120068
220,2927,4092,41.7010970223679
222,644,64722,0.985221674876847
223,3741,61625,5.72315882874889
224,13139,64360,16.9537671453825
227,1327,76172,1.71228015845366
228,12140,65359,15.6647182544291
230,789,76710,1.01807765261487
244,1354,76145,1.74711931766862
246,1489,76010,1.9213151137434
25,15,30526,0.0491143053600079
250,5674,59692,8.68035370070067
259,77,77422,0.0993561207241384
271,26,65340,0.0397760303521709
277,1670,75829,2.15486651440664
279,34,77465,0.0438715338262429
280,1210,76289,1.56131046852217
281,797,76702,1.02840036645634
282,509,64857,0.778692286509806
285,15,30527,0.049112697269334
289,10767,19775,35.253094099928
292,158,30384,0.517320411236985
304,2077,63289,3.17749288620996
305,6116,59250,9.35654621668757
306,130,77369,0.16774409992387
308,907,76592,1.17033768177654
309,371,77128,0.478715854398121
310,3965,73534,5.11619504767804
315,1983,75516,2.55874269345411
320,48,77451,0.0619362830488135
321,28151,49348,36.324339668899
323,12037,65462,15.5318133137202
327,780,76719,1.00646459954322
328,6953,70546,8.97172866746668
339,44976,32523,58.0342972167383
340,216,77283,0.278713273719661
341,2016,75483,2.60132388805017
345,119,77380,0.15355036839185
346,1677,75822,2.16389888901792
347,5077,72422,6.55105227164221
348,7500,69999,9.67754422637712
353,69,77430,0.0890334068826695
360,220,65146,0.336566410672215
361,2916,62450,4.46103478872808
363,3998,73502,5.15870967741936
364,1470,76030,1.89677419354839
365,11497,66003,14.8348387096774
366,1465,76035,1.89032258064516
369,2263,75237,2.92
370,128,77372,0.165161290322581
371,492,77008,0.634838709677419
376,1507,75993,1.94451612903226
398,1491,76009,1.92387096774194
399,15528,61972,20.0361290322581
401,637,76863,0.821935483870968
403,6131,71369,7.91096774193548
405,1691,75809,2.18193548387097
407,2308,75192,2.97806451612903
409,15178,62322,19.5845161290323
410,10357,67143,13.3638709677419
411,2516,74984,3.24645161290323
412,7226,70274,9.32387096774194
413,24955,52545,32.2
415,5713,71787,7.37161290322581
416,1140,76360,1.47096774193548
421,13202,64298,17.0348387096774
424,29346,48154,37.8658064516129
426,30630,46870,39.5225806451613
43,3,30538,0.00982286107200157
430,3111,74389,4.0141935483871
437,13774,63726,17.7729032258065
445,2626,62740,4.01737906556926
446,2314,75186,2.9858064516129
447,19171,58329,24.7367741935484
451,8921,68579,11.5109677419355
453,11808,53558,18.0644371691705
456,915,64451,1.39981029893217
457,1769,75731,2.28258064516129
459,3744,73756,4.83096774193548
464,818,76682,1.05548387096774
465,687,76813,0.886451612903226
466,1,30542,0.00327407261893069
468,1675,75825,2.16129032258065
472,50,65316,0.076492366061867
473,164,65202,0.250894960682924
479,196,6823,2.79242057273116
486,565,6454,8.04957971220972
49,1083,29458,3.54605284699257
490,1254,64112,1.91842854083163
491,129,6890,1.83786864225673
492,321,6698,4.57330104003419
496,9725,67776,12.5482251841912
497,75,65291,0.114738549092801
499,2132,75369,2.75093224603554
500,1046,76455,1.34966000438704
501,11414,66087,14.7275519025561
504,10377,54989,15.8752256524799
51,2380,28161,7.79280311712125
510,8011,57355,12.2556068904323
513,6673,70828,8.61021148114218
514,4462,73039,5.75734506651527
515,52,77449,0.0670959084398911
519,1080,76421,1.39353040605928
520,39,77462,0.0503219313299183
527,20690,56811,26.6964297234874
530,1814,75687,2.34061495980697
533,35659,41842,46.0110192126553
536,5060,72441,6.52894801357402
540,578,29965,1.89241397374194
542,752,64614,1.15044518557048
550,6311,71190,8.14312073392601
552,22573,54928,29.1260757925704
557,15236,62265,19.6591011728881
560,1341,64025,2.05152525777927
563,12,77489,0.0154836711784364
567,37,30506,0.121140686900435
569,4221,61145,6.45748554294281
574,111,77390,0.143223958400537
580,9106,68395,11.7495258125702
582,13152,64349,16.9701036115663
585,2644,74857,3.41156888298215
586,11423,66078,14.7391646559399
588,34492,43009,44.5052321905524
592,168,77333,0.21677139649811
594,551,76950,0.710958568276538
596,1138,76363,1.46836815008839
597,683,76818,0.881278951239339
598,130,77371,0.167739771099728
601,7575,69926,9.77406743138798
602,802,76699,1.03482535709217
612,1331,29212,4.35779065579675
614,3486,74015,4.49800647733578
615,3160,74341,4.07736674365492
624,1212,76290,1.56383061082295
625,13178,64324,17.0034321694924
628,9012,68490,11.6280870171092
63,10673,66826,13.7717906037497
631,9739,55627,14.8991830615305
634,7568,57798,11.5778845271242
635,1384,63982,2.11730869259248
639,4803,60563,7.34785668390295
641,329,77174,0.424499696785931
642,35674,41829,46.0291859669948
644,8012,69491,10.3376643484768
654,15479,62024,19.9721301110925
656,4863,72640,6.27459582209721
657,6269,71234,8.08871914635562
66,613,76886,0.790977948102556
661,12125,65378,15.6445556946183
662,2824,74679,3.64372992013212
664,17290,60213,22.308813852367
668,5,77498,0.00645136317303846
673,36391,41112,46.9543114460085
698,64,77439,0.0825774486148923
699,1806,75697,2.33023237810149
70,239,77260,0.308391076013884
700,64,65302,0.0979102285591898
701,554,64812,0.847535415965487
702,33,77470,0.0425789969420539
703,33153,32213,50.7190282409815
706,8086,69417,10.4331445234378
708,18245,59258,23.5410242184174
711,16062,61441,20.7243590570688
712,35311,42192,45.5608170006322
714,25341,52162,32.6967988335935
715,20665,56838,26.663483994168
719,22164,55339,28.5976026734449
721,5531,71972,7.13649794201515
723,16153,61350,20.8417738668181
724,23888,53615,30.8220326955086
725,2706,74797,3.49147774924842
727,9819,67684,12.6691869992129
728,2960,74543,3.81920699843877
73,4682,72817,6.04136827571969
730,6536,70967,8.43322193979588
731,19413,58090,25.0480626556391
736,12856,64647,16.5877449905165
738,8186,69317,10.5621717868986
739,3,77500,0.00387081790382308
742,742,76761,0.957382294878908
743,15014,62489,19.3721533359999
747,1902,75601,2.45409855102383
748,22601,54902,29.1614518147685
749,7713,22830,25.2529221098124
75,3531,73968,4.55618782177835
750,725,64641,1.10913930789707
753,5840,24703,19.1205840945552
755,13508,63995,17.4290027482807
76,5382,72117,6.94460573684822
763,38979,38524,50.2935370243733
77,2928,74571,3.77811326597763
774,8884,68619,11.4627820858547
779,10154,67350,13.1012592898431
78,1119,76380,1.44388959857547
785,2025,75479,2.61276837324525
787,2,77502,0.00258051197357556
789,13300,64204,17.1604046242775
792,6914,70590,8.9208298926507
793,6301,71203,8.12990297274979
812,11078,54288,16.9476486246673
816,9794,55572,14.9833246641985
818,30249,35117,46.2763516201083
82,6401,58965,9.79255270324022
821,7138,70366,9.20984723369116
829,65,77439,0.0838666391412056
830,14442,63062,18.6338769611891
831,1058,76446,1.36509083402147
835,10229,67275,13.1980284888522
837,12027,65477,15.5179087530966
839,44735,32769,57.7196015689513
840,7530,69974,9.71562758051197
841,5388,72116,6.95189925681255
844,12890,52476,19.7197319707493
847,3922,73582,5.06038398018167
850,1562,75942,2.01537985136251
851,4476,73028,5.7751857968621
852,7333,70171,9.46144715111478
855,2677,27866,8.76469240087745
856,423,64944,0.647115517003993
869,461,30082,1.50934747732705
870,1193,29350,3.90596863438431
874,21861,55643,28.2062861271676
883,17,77487,0.0219343517753922
885,1,65366,0.00152982391726712
886,1,65366,0.00152982391726712
892,13,77491,0.0167733278282411
9,1,30540,0.00327428702400052
901,57,30486,0.186622139279049
902,32,77472,0.0412881915772089
91,3885,73614,5.01296790926335
928,190,65177,0.290666544280753
938,5,5138,0.0972195216799533
974,6,65362,0.00917880308407784
977,457,77048,0.589639378104638
980,158,30385,0.517303473791049
984,36,30507,0.117866614281505
985,96,30447,0.314310971417346
987,4,30539,0.0130962904757228
