Rob6,Common name,Scientific name,Endemic,Red Data Status (BirdLife Int),RDL status (in SA),Region,Cliffs,Forest,Woodland,Grassland,Savanna,Thicket,Fynbos,Karoo,Semi-arid,Namib desert,Wetland,Lagoons,Open coast,Marine,Agricultural
310,Subantarctic Skua,Catharacta antarctica,3,5,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
311,South Polar Skua,Catharacta maccormicki,3,5,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
308,Long-tailed Jaeger,Stercorarius longicaudus,3,5,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
331,Black-naped Tern,Sterna sumatrana,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
328,Arctic Tern,Sterna paradisaea,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
329,Antarctic Tern,Sterna vittata,3,4,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
336,White-cheeked Tern,Sterna repressa,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
332,Sooty Tern,Sterna fuscata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
340,Brown Noddy,Anous stolidus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
341,Lesser Noddy,Anous tenuirostris,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
910,Red-billed Tropicbird,Phaethon aethereus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
47,Red-tailed Tropicbird,Phaethon rubricauda,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
48,White-tailed Tropicbird,Phaethon lepturus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
53,Cape Gannet,Morus capensis,2,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
54,Australian Gannet,Morus serrator,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Red-footed Booby,Sula sula,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
52,Brown Booby,Sula leucogaster,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
61,Greater Frigatebird,Fregata minor,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0,Lesser Frigatebird,Fregata ariel,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
2,King Penguin,Aptenodytes patagonicus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0,Gentoo Penguin,Pygoscelis papua,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
5,Macaroni Penguin,Eudyptes chrysolophus,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
4,Rockhopper Penguin,Eudyptes chrysocome,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
3,African Penguin,Spheniscus demersus,2,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0,Magellanic Penguin,Spheniscus magellanicus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
44,Wilsons Storm-Petrel,Oceanites oceanicus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,White-faced Storm-Petrel,Pelagodroma marina,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
46,Black-bellied Storm-Petrel,Fregetta tropica,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
45,White-bellied Storm-Petrel,Fregetta grallaria,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
42,European Storm-Petrel,Hydrobates pelagicus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
43,Leachs Storm-Petrel,Oceanodroma leucorhoa,3,5,EN s Afr,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
918,Matsudairas Storm-Petrel,Oceanodroma matsudairae,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
10,Wandering Albatross,Diomedea exulans,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Tristan Albatross,Diomedea dabbenena,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
9,Southern Royal Albatross,Diomedea epomophora,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Northern Royal Albatross,Diomedea sanfordi,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
905,Laysan Albatross,Phoebastria immutabilis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
11,Shy Albatross,Thalassarche cauta,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Salvins Albatross,Thalassarche salvini,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Chatham Albatross,Thalassarche eremita,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Bullers Albatross,Thalassarche bulleri,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
12,Black-browed Albatross,Thalassarche melanophrys,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
13,Grey-headed Albatross,Thalassarche chrysostoma,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
14,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Indian Yellow-nosed Albatross,Thalassarche carteri,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
15,Sooty Albatross,Phoebetria fusca,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
16,Light-mantled Albatross,Phoebetria palpebrata,3,4,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
17,Southern Giant-Petrel,Macronectes giganteus,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
18,Northern Giant-Petrel,Macronectes halli,3,4,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
19,Southern Fulmar,Fulmarus glacialoides,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20,Antarctic Petrel,Thalassoica antarctica,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
21,Pintado Petrel,Daption capense,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
23,Great-winged Petrel,Pterodroma macroptera,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
25,White-headed Petrel,Pterodroma lessonii,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
26,Atlantic Petrel,Pterodroma incerta,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Barau’s Petrel,Pterodroma baraui,3,2,EN,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
24,Soft-plumaged Petrel,Pterodroma mollis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
27,Kerguelen Petrel,Lugensa brevirostris,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
28,Blue Petrel,Halobaena caerulea,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
29,Broad-billed Prion,Pachyptila vittata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Salvins Prion,Pachyptila salvini,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Antarctic Prion,Pachyptila desolata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
30,Slender-billed Prion,Pachyptila belcheri,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
31,Fairy Prion,Pachyptila turtur,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
22,Bulwers Petrel,Bulweria bulwerii,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Jouanins Petrel,Bulweria fallax,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
32,White-chinned Petrel,Procellaria aequinoctialis,3,3,VU,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Spectacled Petrel,Procellaria conspicillata,3,1,CR,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
33,Grey Petrel,Procellaria cinerea,3,4,NT,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
34,Corys Shearwater,Calonectris diomedea,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Streaked Shearwater,Calonectris leucomelas,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
35,Great Shearwater,Puffinus gravis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
36,Flesh-footed Shearwater,Puffinus carneipes,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
37,Sooty Shearwater,Puffinus griseus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
41,Wedge-tailed Shearwater,Puffinus pacificus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
38,Manx Shearwater,Puffinus puffinus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,Balearic Shearwater,Puffinus mauretanicus,3,5,CR,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
40,Tropical Shearwater,Puffinus bailloni,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
39,Little Shearwater,Puffinus assimilis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
